USERS,TOTAL_AMOUNT
terra14ynx55ccg5tfhspmjq4w5vzxjfgw9naxc88jwu,72413
terra15alfyxeesm4yjjh2z5klfkdzgwv26gz86xakk5,50750.929535
terra19vy4h3en54r7zt3scjtugvgkkk2a9hlypaqkpg,42629.65022
terra1ged7e98s0ts8ugq3ujn0zggfnut23emegpwcc0,41998.532921
terra1h2scszt3ny3c646nm204t64rcxz3umra0j8zsw,40692.847625
terra1pvg7ymka33kn22wxdazq0agw3h4374tu6hyagx,32041.87799
terra1hqmyckxct3vwqmsswetn2yzqkmyx974yu3h6n4,30432.339456
terra1nhw34yuc04htz70nmfp8yn7arudy7pxwuv0ev6,28362.507203
terra17846saa8hspkt2wgqdycd3arxk8ykrusg4mfdw,26431.931463
terra136fcgj0xw6dgmf85w44tyzc560tytlr20sfnax,24068.005143
