TIMELINE,STAKE_COUNT,USERS_COUNT,TOTAL_AMOUNT,AVG_AMOUNT
Week After Luanch,6751,4563,6250075.201791,767.72819086
Week Before Launch,4850,3431,1316980.347267,225.009456222
