TIMELINE,LP_TRANSACTION_COUNT,USER_COUNT,TOTAL_ACTION_AMOUNT,AVG_ACTION_AMOUNT
Week Before Launch,620,344,8937918.594939,4805.332577924194
Week After Luanch,1122,560,23562012.082518,7000.00358957754
