TIMELINE,DATE,ACTION,LP_TRANSACTION_COUNT,USER_COUNT,TOTAL_ACTION_AMOUNT,AVG_ACTION_AMOUNT
Days After Launch,2023-01-15 00:00:00.000,mint_lp_token,211,159,598269.349347,2835.399759938389
Days After Launch,2023-01-15 00:00:00.000,withdraw_liquidity,10,10,645471.62223,32273.5811115
Days After Launch,2023-01-15 00:00:00.000,provide_liquidity,211,159,2195459.488283,5202.510635741706
Days After Launch,2023-01-16 00:00:00.000,provide_liquidity,145,107,1633660.726461,5633.312849865517
Days After Launch,2023-01-16 00:00:00.000,burn_lp_token,22,20,26538.403896,1206.291086181818
Days After Launch,2023-01-16 00:00:00.000,mint_lp_token,145,107,563551.693399,3886.563402751724
Days After Launch,2023-01-16 00:00:00.000,withdraw_liquidity,22,20,303204.725804,6891.016495545455
Days After Launch,2023-01-17 00:00:00.000,burn_lp_token,8,8,162970.65628,20371.332035
Days After Launch,2023-01-17 00:00:00.000,withdraw_liquidity,8,8,378377.158632,23648.5724145
Days After Launch,2023-01-17 00:00:00.000,provide_liquidity,131,90,1346342.228785,5138.710796889313
Days After Launch,2023-01-17 00:00:00.000,mint_lp_token,131,90,544911.148587,4159.627088450382
Days After Launch,2023-01-18 00:00:00.000,provide_liquidity,121,95,2239068.579656,9252.349502710744
Days After Launch,2023-01-18 00:00:00.000,withdraw_liquidity,10,6,993308.019534,49665.4009767
Days After Launch,2023-01-18 00:00:00.000,burn_lp_token,10,6,46885.875529,4688.5875529
Days After Launch,2023-01-18 00:00:00.000,mint_lp_token,121,95,450688.445284,3724.697894909091
Days After Launch,2023-01-19 00:00:00.000,burn_lp_token,3,3,4477.098243,1492.366081
Days After Launch,2023-01-19 00:00:00.000,provide_liquidity,92,74,7356699.972539,39982.06506814674
Days After Launch,2023-01-19 00:00:00.000,mint_lp_token,92,74,1745510.684707,18972.942225076087
Days After Launch,2023-01-19 00:00:00.000,withdraw_liquidity,3,3,103649.20234,17274.867056666666
Days After Launch,2023-01-20 00:00:00.000,provide_liquidity,105,86,168677.229679,803.224903233333
Days After Launch,2023-01-20 00:00:00.000,mint_lp_token,105,86,48093.54826,458.033792952381
Days After Launch,2023-01-20 00:00:00.000,burn_lp_token,5,5,1219.354364,243.8708728
Days After Launch,2023-01-20 00:00:00.000,withdraw_liquidity,5,5,23297.406702,2329.7406702
Days After Launch,2023-01-21 00:00:00.000,burn_lp_token,7,7,2900.094613,414.299230428571
Days After Launch,2023-01-21 00:00:00.000,mint_lp_token,102,87,66142.715352,648.457993647059
Days After Launch,2023-01-21 00:00:00.000,provide_liquidity,102,87,200923.180302,984.9175505
Days After Launch,2023-01-21 00:00:00.000,withdraw_liquidity,7,7,6156.672089,439.762292071429
Days After Launch,2023-01-22 00:00:00.000,provide_liquidity,129,100,2651657.303696,10277.741487193798
Days After Launch,2023-01-22 00:00:00.000,burn_lp_token,6,5,1838.891001,306.4818335
Days After Launch,2023-01-22 00:00:00.000,mint_lp_token,129,100,1081427.6973,8383.160444186047
Days After Launch,2023-01-22 00:00:00.000,withdraw_liquidity,6,5,3903.837411,325.31978425
Days After Launch,2023-01-23 00:00:00.000,withdraw_liquidity,3,3,189.881808,31.646968
Days After Launch,2023-01-23 00:00:00.000,mint_lp_token,99,79,2112096.918941,21120.96918941
Days After Launch,2023-01-23 00:00:00.000,burn_lp_token,3,3,89.452105,29.817368333333
Days After Launch,2023-01-23 00:00:00.000,provide_liquidity,99,79,9071912.345771,45359.561728855
