Date,New Users,Existing Users,New User Percentage
2022-12-04 00:00:00.000,101,1800,5.313
2022-09-05 00:00:00.000,1275,3093,29.1896
2023-01-08 00:00:00.000,125,1686,6.9023
2022-11-25 00:00:00.000,158,2309,6.4045
2022-11-23 00:00:00.000,145,1765,7.5916
2022-11-30 00:00:00.000,141,1853,7.0712
2022-10-11 00:00:00.000,160,1592,9.1324
2022-10-28 00:00:00.000,120,1453,7.6287
2022-08-10 00:00:00.000,278,1470,15.9039
2022-08-16 00:00:00.000,233,1487,13.5465
2023-01-18 00:00:00.000,194,2345,7.6408
2022-07-19 00:00:00.000,371,1575,19.0647
2022-09-03 00:00:00.000,309,1312,19.0623
2022-11-11 00:00:00.000,198,1430,12.1622
2022-12-20 00:00:00.000,125,1481,7.7833
2022-11-19 00:00:00.000,134,1310,9.2798
2022-09-30 00:00:00.000,223,1829,10.8674
2022-08-08 00:00:00.000,309,1634,15.9032
2022-07-31 00:00:00.000,361,1839,16.4091
2022-12-08 00:00:00.000,119,1839,6.0776
2022-08-18 00:00:00.000,237,1309,15.3299
2022-10-06 00:00:00.000,248,1575,13.6039
2022-07-27 00:00:00.000,212,1323,13.8111
2022-12-17 00:00:00.000,131,1597,7.581
2022-08-24 00:00:00.000,224,1385,13.9217
2023-01-17 00:00:00.000,205,2306,8.1641
2022-08-14 00:00:00.000,280,1451,16.1756
2023-01-14 00:00:00.000,274,3318,7.6281
2023-01-20 00:00:00.000,206,2373,7.9876
2022-10-08 00:00:00.000,178,1525,10.4521
2022-10-31 00:00:00.000,149,1832,7.5215
2022-09-24 00:00:00.000,186,1391,11.7945
2022-11-22 00:00:00.000,76,1438,5.0198
2022-12-27 00:00:00.000,191,2191,8.0185
2022-09-16 00:00:00.000,291,1752,14.2438
2022-09-17 00:00:00.000,315,1777,15.0574
2022-07-02 00:00:00.000,468,1411,24.9069
2022-10-09 00:00:00.000,162,1662,8.8816
2022-07-23 00:00:00.000,238,1153,17.11
2022-10-20 00:00:00.000,132,1425,8.4778
2022-09-09 00:00:00.000,3666,8828,29.3421
2022-08-01 00:00:00.000,1020,2875,26.1874
2022-07-25 00:00:00.000,217,1284,14.457
2022-12-02 00:00:00.000,145,1876,7.1747
2022-12-11 00:00:00.000,113,1564,6.7382
2022-08-21 00:00:00.000,191,1180,13.9314
2022-07-07 00:00:00.000,355,1531,18.8229
2022-10-04 00:00:00.000,274,1991,12.0971
2022-10-07 00:00:00.000,197,1500,11.6087
2022-09-07 00:00:00.000,593,1779,25
2023-01-02 00:00:00.000,125,1925,6.0976
2022-11-06 00:00:00.000,160,1484,9.7324
2022-12-25 00:00:00.000,88,1359,6.0815
2022-12-21 00:00:00.000,144,1479,8.8725
2022-12-30 00:00:00.000,169,1594,9.5859
2022-12-31 00:00:00.000,157,1679,8.5512
2022-12-06 00:00:00.000,161,1914,7.759
2022-10-21 00:00:00.000,101,1467,6.4413
2022-09-26 00:00:00.000,318,2223,12.5148
2022-07-20 00:00:00.000,309,1467,17.3986
2022-08-19 00:00:00.000,229,1206,15.9582
2022-11-13 00:00:00.000,210,1519,12.1457
2022-08-09 00:00:00.000,274,1415,16.2226
2022-11-05 00:00:00.000,186,1842,9.1716
2023-01-16 00:00:00.000,274,3116,8.0826
2022-12-03 00:00:00.000,113,1654,6.395
2022-08-27 00:00:00.000,425,1505,22.0207
2023-01-22 00:00:00.000,217,2753,7.3064
2022-11-28 00:00:00.000,126,1801,6.5387
2022-11-17 00:00:00.000,115,1279,8.2496
2022-12-28 00:00:00.000,129,1697,7.0646
2022-07-01 00:00:00.000,497,1588,23.8369
2022-07-17 00:00:00.000,287,1449,16.5323
2022-09-12 00:00:00.000,882,2764,24.1909
2022-12-26 00:00:00.000,120,1746,6.4309
2022-08-06 00:00:00.000,244,1241,16.431
2022-09-14 00:00:00.000,612,2381,20.4477
2022-11-02 00:00:00.000,126,1574,7.4118
2022-09-28 00:00:00.000,194,1558,11.0731
