DATE,STICKINESS_RATIO
2022-07-01 00:00:00.000,6.3928875277
2022-08-01 00:00:00.000,6.5208265217
2022-09-01 00:00:00.000,6.1754930984
2022-10-01 00:00:00.000,7.5775640324
2022-11-01 00:00:00.000,7.0217506782
2022-12-01 00:00:00.000,7.5375359242
2023-01-01 00:00:00.000,9.1986421555
